"","x"
"300","Calliopsis rhodophila"
"301","Anthidium tenuiflorae"
"302","Trachusa timberlakei"
"303","Stelis trichopyga"
"304","Ashmeadiella xenomastax"
"305","Anthidium jocosum"
"306","Anthidium atripes"
"307","Megachile toscata"
"308","Osmia californica"
"309","Ashmeadiella cubiceps"
"310","Megachile nevadensis"
"311","Bombus vosnesenskii"
"312","Halictus ligatus"
"313","Agapostemon texanus"
"314","Agapostemon femoratus"
"315","Andrena agoseridis"
"316","Andrena annectens"
"317","Andrena arctostaphylae"
"318","Andrena biareola"
"319","Andrena bocensis"
"320","Andrena buccata"
"321","Andrena bucculenta"
"322","Andrena omninigra"
"323","Andrena congrua"
"324","Andrena oenotherae"
"325","Andrena eothina"
"326","Andrena hermosa"
"327","Andrena hurdi"
"328","Andrena ishii"
"329","Andrena luteihirta"
"330","Andrena malacothricidis"
"331","Andrena prolixa"
"332","Andrena quadrilimbata"
"333","Andrena ribblei"
"334","Andrena santaclarae"
"335","Andrena stipator"
"336","Andrena viridissima"
"337","Calliopsis micheneri"
"338","Perdita digressa"
"339","Perdita chionostoma"
"340","Perdita assimilis"
"341","Perdita exigua"
"342","Perdita falcata"
"343","Perdita glabrescens"
"344","Perdita leucophylli"
"345","Perdita navarretiae"
"346","Perdita nitens"
"347","Perdita plucheae"
"348","Perdita pusilla"
"349","Perdita scutellaris"
"350","Perdita socia"
"351","Melissodes bimatris"
"352","Melissodes brevipyga"
"353","Melissodes clarkiae"
"354","Melissodes hurdi"
"355","Svastra pallidior"
"356","Xylocopa californica"
"357","Ancylandrena atoposoma"
"358","Ancylandrena larreae"
"359","Ancylandrena timberlakei"
"360","Andrena anatolis"
"361","Andrena angustella"
"362","Andrena angusticrus"
"363","Andrena angustitarsata"
"364","Augochlorella aurata"
"365","Augochlorella pomoniella"
"366","Agapostemon melliventris"
"367","Augochloropsis sumptuosa"
"368","Agapostemon angelicus"
"369","Lasioglossum olympiae"
"370","Halictus tripartitus"
"371","Ceratina sequoiae"
"372","Melissodes stearnsi"
"373","Ceratina nanula"
"374","Osmia nemoris"
"375","Andrena piperi"
"376","Xylocopa sonorina"
"377","Bombus melanopygus"
"378","Diadasia enavata"
"379","Lasioglossum incompletum"
"380","Macrotera nigrella"
"381","Calliopsis boharti"
"382","Conanthalictus wilmattae"
"383","Andrena chlorosoma"
"384","Andrena osmioides"
"385","Calliopsis cinctus"
"386","Triepeolus argentimus"
"387","Lasioglossum sisymbrii"
"388","Halictus rubicundus"
"389","Lasioglossum titusi"
"390","Lasioglossum microlepoides"
"391","Nomia melanderi"
"392","Micralictoides altadenae"
"393","Dufourea scintilla"
"394","Halictus farinosus"
"395","Dufourea boregoensis"
"396","Dufourea malacothricis"
"397","Protohalonia venusta"
"398","Lasioglossum cyaneonotus"
"399","Dufourea spilura"
"400","Lasioglossum pacificum"
"401","Lasioglossum pavonotum"
"402","Dufourea virgata"
"403","Dufourea mulleri"
"404","Sphecodes arvensiformis"
"405","Dufourea sandhouseae"
"406","Lasioglossum californicum"
"407","Dufourea trochantera"
"408","Dufourea scabricornis"
"409","Dufourea subdavidsoni"
"410","Lasioglossum sedi"
"411","Lasioglossum nevadense"
"412","Lasioglossum mellipes"
"413","Lasioglossum diversopunctatum"
"414","Dufourea bernardina"
"415","Lasioglossum egregium"
"416","Micralictoides ruficaudus"
"417","Lasioglossum longicorne"
"418","Lasioglossum anhypops"
"419","Lasioglossum pulveris"
"420","Lasioglossum kunzei"
"421","Lasioglossum channelense"
"422","Dufourea nudicornis"
"423","Lasioglossum punctatoventre"
"424","Conanthalictus mentzeliae"
"425","Dufourea tarsata"
"426","Conanthalictus macrops"
"427","Nomia howardi"
"428","Conanthalictus namatophilus"
"429","Lasioglossum hyalinum"
"430","Dufourea rhamni"
